color,item
purple,book
green,book
red,bicycle
yellow,book
orange,book
green,car
green,car
blue,ball
yellow,bicycle
orange,book
green,bicycle
blue,flower
red,bicycle
purple,bicycle
green,bicycle
orange,ball
yellow,car
orange,ball
red,ball
red,car
green,picture
green,flower
blue,picture
green,car
yellow,flower
purple,flower
green,ball
yellow,bicycle
orange,bicycle
orange,flower
yellow,picture
purple,flower
green,picture
orange,car
orange,picture
yellow,car
yellow,picture
purple,picture
purple,picture
purple,flower
